ID	ProcessClass_ID	TransferClass_ID	Equipment_ID	SignalName	TagAddress	ValueType	Direction	Description	LastSaved	ConfiguredBy
143	10	NULL	273	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.427	TPMDB
144	10	NULL	273	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.427	TPMDB
145	10	NULL	273	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.427	TPMDB
146	10	NULL	282	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.457	TPMDB
147	10	NULL	282	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.457	TPMDB
148	10	NULL	282	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.457	TPMDB
149	10	NULL	282	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.457	TPMDB
150	10	NULL	282	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.457	TPMDB
151	10	NULL	291	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.473	TPMDB
152	10	NULL	291	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.473	TPMDB
153	10	NULL	291	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.473	TPMDB
154	10	NULL	291	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.473	TPMDB
155	10	NULL	291	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.473	TPMDB
156	10	NULL	300	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.473	TPMDB
157	10	NULL	300	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.473	TPMDB
158	10	NULL	300	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.473	TPMDB
159	10	NULL	300	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.473	TPMDB
160	10	NULL	300	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.473	TPMDB
161	10	NULL	309	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.473	TPMDB
162	10	NULL	309	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.473	TPMDB
163	10	NULL	309	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.473	TPMDB
164	10	NULL	309	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.473	TPMDB
165	10	NULL	309	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.490	TPMDB
166	10	NULL	318	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.490	TPMDB
167	10	NULL	318	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.490	TPMDB
168	10	NULL	318	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.490	TPMDB
169	10	NULL	318	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.490	TPMDB
170	10	NULL	318	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.490	TPMDB
171	10	NULL	327	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.490	TPMDB
172	10	NULL	327	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.490	TPMDB
173	10	NULL	327	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.490	TPMDB
174	10	NULL	327	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.490	TPMDB
175	10	NULL	327	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.490	TPMDB
176	10	NULL	336	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.520	TPMDB
177	10	NULL	336	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.520	TPMDB
178	10	NULL	336	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.520	TPMDB
179	10	NULL	336	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.520	TPMDB
180	10	NULL	336	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.520	TPMDB
181	6	NULL	161	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:52:42.140	TPMDB
182	6	NULL	161	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:52:42.140	TPMDB
183	6	NULL	161	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:52:42.140	TPMDB
184	6	NULL	161	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:52:42.140	TPMDB
185	6	NULL	161	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:52:42.140	TPMDB
186	19	NULL	226	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:54:00.177	TPMDB
187	19	NULL	226	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:54:00.177	TPMDB
188	19	NULL	226	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:54:00.177	TPMDB
189	19	NULL	226	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:54:00.177	TPMDB
190	19	NULL	226	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:54:00.177	TPMDB
191	19	NULL	238	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:54:00.177	TPMDB
192	19	NULL	238	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:54:00.177	TPMDB
193	19	NULL	238	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:54:00.177	TPMDB
194	19	NULL	238	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:54:00.190	TPMDB
195	19	NULL	238	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:54:00.190	TPMDB
196	19	NULL	250	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:54:00.190	TPMDB
197	19	NULL	250	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:54:00.190	TPMDB
198	19	NULL	250	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:54:00.190	TPMDB
199	19	NULL	250	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:54:00.190	TPMDB
