ID	TPIBK_RecipeParameterData_ID	TPIBK_RecipeBatchData_ID	Value	CustomEU
321	97	778	35	s
322	96	784	0	
323	79	785	1	
324	80	785	1.235	
325	81	785	5500	Gal
326	82	785	15	Brix
327	60	787	1500	Gal
328	67	787	0	
329	50	791	250	Gal
330	44	795	350	Gal
331	49	798	0	Gal
333	48	801	45	Lbs
334	49	803	1	Gal
336	74	810	250	Gal
337	75	810	350	Lbs
338	51	811	38	Lbs
339	51	812	41	Lbs
340	74	813	0	Gal
341	75	813	0	Lbs
342	61	816	150	Gal
343	61	817	1	Gal
344	74	819	0	Gal
345	75	819	0	Lbs
346	44	823	1	Gal
347	50	826	1	Gal
348	60	829	0	Gal
349	67	829	0	
350	60	831	1500	Gal
351	67	831	1	
352	97	832	35	s
353	96	838	0	
354	79	839	1	
355	80	839	1.235	
356	81	839	5500	Gal
357	82	839	15	Brix
358	60	841	1500	Gal
359	67	841	0	
360	50	845	250	Gal
361	44	849	350	Gal
362	49	852	0	Gal
364	48	855	45	Lbs
365	49	857	1	Gal
367	74	864	250	Gal
368	75	864	350	Lbs
369	51	865	38	Lbs
370	51	866	41	Lbs
371	74	867	0	Gal
372	75	867	0	Lbs
373	61	870	150	Gal
374	61	871	1	Gal
375	74	873	0	Gal
376	75	873	0	Lbs
377	44	877	1	Gal
378	50	880	1	Gal
379	60	883	0	Gal
380	67	883	0	
381	60	885	1500	Gal
382	67	885	1	
383	97	886	35	s
384	68	838	4	
385	96	892	0	
386	68	892	4	
387	79	893	1	
388	80	893	1.235	
389	81	893	5500	Gal
390	82	893	15	Brix
391	60	895	1500	Gal
392	67	895	0	
393	50	899	250	Gal
394	44	903	350	Gal
395	49	906	0	Gal
397	48	909	45	Lbs
398	49	911	1	Gal
400	74	918	250	Gal
401	75	918	350	Lbs
402	51	919	38	Lbs
403	51	920	41	Lbs
404	74	921	0	Gal
405	75	921	0	Lbs
406	61	924	150	Gal
407	61	925	1	Gal
408	74	927	0	Gal
409	75	927	0	Lbs
410	44	931	1	Gal
411	50	934	1	Gal
412	60	937	0	Gal
413	67	937	0	
414	60	939	1500	Gal
415	67	939	1	
416	97	940	35	s
419	76	948	0	Gal
420	76	949	0	Gal
421	96	951	0	
422	68	951	4	
423	79	952	1	
424	80	952	1.235	
425	81	952	5500	Gal
426	82	952	15	Brix
427	60	954	1500	Gal
428	67	954	0	
429	50	958	250	Gal
430	44	962	350	Gal
431	49	965	0	Gal
433	48	968	45	Lbs
434	49	970	1	Gal
436	74	977	250	Gal
437	75	977	350	Lbs
438	51	978	38	Lbs
439	51	979	41	Lbs
440	74	980	0	Gal
441	75	980	0	Lbs
442	61	983	150	Gal
443	61	984	1	Gal
444	74	986	0	Gal
445	75	986	0	Lbs
446	44	990	1	Gal
447	50	993	1	Gal
448	60	996	0	Gal
449	67	996	0	
450	60	998	1500	Gal
451	67	998	1	
452	97	999	35	s
455	76	1006	0	Gal
456	76	1007	0	Gal
457	78	951	0	
458	96	1009	0	
459	68	1009	4	
460	78	1009	0	
461	79	1010	1	
462	80	1010	1.235	
463	81	1010	5500	Gal
464	82	1010	15	Brix
465	60	1012	1500	Gal
466	67	1012	0	
467	50	1016	250	Gal
468	44	1020	350	Gal
469	49	1023	0	Gal
471	48	1026	45	Lbs
472	49	1028	1	Gal
474	74	1035	250	Gal
475	75	1035	350	Lbs
476	51	1036	38	Lbs
477	51	1037	41	Lbs
478	74	1038	0	Gal
479	75	1038	0	Lbs
480	61	1041	150	Gal
481	61	1042	1	Gal
482	74	1044	0	Gal
483	75	1044	0	Lbs
484	44	1048	1	Gal
485	50	1051	1	Gal
486	60	1054	0	Gal
487	67	1054	0	
488	60	1056	1500	Gal
489	67	1056	1	
490	97	1057	35	s
493	76	1064	0	Gal
494	76	1065	0	Gal
495	96	1067	0	
496	68	1067	4	
497	78	1067	0	
498	79	1068	1	
499	80	1068	1.235	
500	81	1068	5500	Gal
501	82	1068	15	Brix
502	60	1070	1500	Gal
503	67	1070	0	
504	50	1074	250	Gal
505	44	1078	350	Gal
506	49	1081	0	Gal
508	48	1084	45	Lbs
509	49	1086	1	Gal
511	74	1093	250	Gal
512	75	1093	350	Lbs
513	51	1094	38	Lbs
514	51	1095	41	Lbs
515	74	1096	0	Gal
516	75	1096	0	Lbs
517	61	1099	150	Gal
518	61	1100	1	Gal
519	74	1102	0	Gal
520	75	1102	0	Lbs
521	44	1106	1	Gal
522	50	1109	1	Gal
523	60	1112	0	Gal
524	67	1112	0	
525	60	1114	1500	Gal
526	67	1114	1	
527	97	1115	35	s
530	76	1122	0	Gal
531	76	1123	0	Gal
532	96	1125	0	
533	68	1125	4	
534	78	1125	0	
535	79	1126	1	
536	80	1126	1.235	
537	81	1126	5500	Gal
538	82	1126	15	Brix
539	60	1128	1500	Gal
540	67	1128	0	
541	50	1132	250	Gal
542	44	1136	350	Gal
543	49	1139	0	Gal
545	48	1142	45	Lbs
546	49	1144	1	Gal
548	74	1151	250	Gal
549	75	1151	350	Lbs
550	51	1152	38	Lbs
551	51	1153	41	Lbs
552	74	1154	0	Gal
553	75	1154	0	Lbs
554	61	1157	150	Gal
555	61	1158	1	Gal
556	74	1160	0	Gal
557	75	1160	0	Lbs
558	44	1164	1	Gal
559	50	1167	1	Gal
560	60	1170	0	Gal
561	67	1170	0	
562	60	1172	1500	Gal
563	67	1172	1	
564	97	1173	35	s
567	76	1180	0	Gal
568	76	1181	0	Gal
569	96	1183	0	
570	68	1183	4	
571	78	1183	0	
572	79	1184	1	
573	80	1184	1.235	
574	81	1184	5500	Gal
575	82	1184	15	Brix
576	60	1186	1500	Gal
577	67	1186	0	
578	50	1190	250	Gal
579	44	1194	350	Gal
580	49	1197	0	Gal
582	48	1200	45	Lbs
583	49	1202	1	Gal
585	74	1209	250	Gal
586	75	1209	350	Lbs
587	51	1210	38	Lbs
588	51	1211	41	Lbs
589	74	1212	0	Gal
590	75	1212	0	Lbs
591	61	1215	150	Gal
592	61	1216	1	Gal
593	74	1218	0	Gal
594	75	1218	0	Lbs
595	44	1222	1	Gal
596	50	1225	1	Gal
597	60	1228	0	Gal
598	67	1228	0	
599	60	1230	1500	Gal
600	67	1230	1	
601	97	1231	35	s
604	76	1238	0	Gal
605	76	1239	0	Gal
606	96	1241	0	
607	68	1241	4	
608	78	1241	0	
609	79	1242	1	
610	80	1242	1.235	
611	81	1242	5500	Gal
612	82	1242	15	Brix
613	60	1244	1500	Gal
614	67	1244	0	
615	50	1248	250	Gal
616	44	1252	350	Gal
617	49	1255	0	Gal
619	48	1258	45	Lbs
620	49	1260	1	Gal
622	74	1267	250	Gal
623	75	1267	350	Lbs
624	51	1268	38	Lbs
625	51	1269	41	Lbs
626	74	1270	0	Gal
627	75	1270	0	Lbs
628	61	1273	150	Gal
629	61	1274	1	Gal
630	74	1276	0	Gal
631	75	1276	0	Lbs
632	44	1280	1	Gal
633	50	1283	1	Gal
634	60	1286	0	Gal
635	67	1286	0	
636	60	1288	1500	Gal
637	67	1288	1	
638	97	1289	35	s
641	76	1296	0	Gal
642	76	1297	0	Gal
643	44	1304	2500	Gal
644	44	1306	1800	Gal
645	67	1306	1	
646	60	1306	1500	Gal
647	61	1310	850	Gal
648	76	1319	7500	Gal
649	72	1320	1250	Gal
650	73	1320	85	
651	74	1325	800	Gal
652	75	1325	1500	Lbs
653	96	1327	0	
654	79	1328	1	
655	80	1328	1.235	
656	81	1328	5500	Gal
657	82	1328	15	Brix
658	60	1330	1500	Gal
659	67	1330	0	
660	50	1334	250	Gal
661	44	1338	350	Gal
662	49	1341	0	Gal
664	48	1344	45	Lbs
665	49	1346	1	Gal
667	74	1353	250	Gal
668	75	1353	350	Lbs
669	51	1354	38	Lbs
670	51	1355	41	Lbs
671	74	1356	0	Gal
672	75	1356	0	Lbs
673	61	1359	150	Gal
674	61	1360	1	Gal
675	74	1362	0	Gal
676	75	1362	0	Lbs
677	44	1366	1	Gal
678	50	1369	1	Gal
679	60	1372	0	Gal
680	67	1372	0	
681	60	1374	1500	Gal
682	67	1374	1	
683	97	1375	35	s
684	96	1381	0	
685	68	1381	4	
686	78	1381	0	
687	79	1382	1	
688	80	1382	1.235	
689	81	1382	5500	Gal
690	82	1382	15	Brix
691	60	1384	1500	Gal
692	67	1384	0	
693	50	1388	250	Gal
694	44	1392	350	Gal
695	49	1395	0	Gal
697	48	1398	45	Lbs
698	49	1400	1	Gal
700	74	1407	250	Gal
701	75	1407	350	Lbs
702	51	1408	38	Lbs
703	51	1409	41	Lbs
704	74	1410	0	Gal
705	75	1410	0	Lbs
706	61	1413	150	Gal
707	61	1414	1	Gal
708	74	1416	0	Gal
709	75	1416	0	Lbs
710	44	1420	1	Gal
711	50	1423	1	Gal
712	60	1426	0	Gal
713	67	1426	0	
714	60	1428	1500	Gal
715	67	1428	1	
716	97	1429	35	s
719	76	1436	0	Gal
720	76	1437	0	Gal
721	68	1439	4	
722	78	1439	0	
723	79	1440	1	
724	80	1440	1.235	
725	81	1440	5500	Gal
726	82	1440	12	Brix
727	60	1442	2000	Gal
728	67	1442	0	
729	44	1446	400	Gal
730	49	1449	1	Gal
732	48	1452	45	Lbs
733	49	1453	1	Gal
735	74	1460	250	Gal
736	75	1460	400	Lbs
738	44	1462	1	Gal
739	51	1463	35	
740	48	1464	55	Lbs
741	74	1465	0	Gal
742	75	1465	0	Lbs
744	76	1467	0	Gal
745	74	1468	0	Gal
746	75	1468	0	Lbs
747	44	1472	1	Gal
748	60	1475	0	Gal
749	67	1475	0	
750	60	1477	2222	Gal
751	67	1477	1	
752	60	1478	0	Gal
753	67	1478	0	
754	97	1479	0	s
755	68	1485	4	
756	78	1485	0	
757	79	1486	1	
758	80	1486	1.235	
759	81	1486	5500	Gal
